dbms,filenr,sentence,KeySentence,Context,Parameter,Formula,Condition
pg,2,Sometimes the unit is left out; don't do that,,,,,
pg,2,Strings: Single quoted text ('pg_log'),,,,,
pg,2,"ENUMs: Strings, but from a specific list ('WARNING', 'ERROR')",,,,,
pg,2,"Lists: A comma separated list of strings ('""$user"",public,tsearch2)",,,,,
pg,2,When they take effect,,,,,
pg,2,"PostgreSQL settings have different levels of flexibility for when they can be changed, usually related to internal code restrictions",,,,,
pg,2,The complete list of levels is:,,,,,
pg,2,Postmaster: requires restart of server,,,,,
pg,2,"Sighup: requires a HUP of the server, either by kill -HUP (usually -1), pg_ctl reload, or SELECT pg_reload_conf();",,,,,
pg,2,"User: can be set within individual sessions, take effect only within that session",,,,,
pg,2,"Internal: set at compile time, can't be changed, mainly for reference",,,,,
pg,2,Backend: settings which must be set before session start,,,,,
pg,2,Superuser: can be set at runtime for the server by superusers,,,,,
pg,2,"Most of the time you'll only use the first of these, but the second can be useful if you have a server you don't want to take down, while the user session settings can be helpful for some special situations",,,,,
pg,2,,,,,,
pg,2,"You can tell which type of parameter a setting is by looking at the ""context"" field in the pg_settings view",,,,,
pg,2,,,,,,
pg,2,Important notes about configuration files,,,,,
pg,2,Command line options override postgresql,,,,,
pg,2,auto,,,,,
pg,2,conf settings override postgresql,,,,,
pg,2,conf settings,,,,,
pg,2,,,,,,
pg,2,"If the same setting is listed multiple times, the last one wins",,,,,
pg,2,,,,,,
pg,2,You can figure out the postgresql,,,,,
pg,2,conf location with SHOW config_file,,,,,
pg,2,,,,,,
pg,2,It will generally be $PGDATA/postgresql,,,,,
pg,2,"conf (SHOW data_directory), but watch out for symbolic links, postmaster",,,,,
pg,2,opts and other trickiness,,,,,
pg,2,Lines with # are comments and have no effect,,,,,
pg,2,"For a new database, this will mean the setting is using the default, but on running systems this may not hold true! Changes to the configuration files do not take effect without a reload/restart, so it's possible for the system to be running something different from what is in the file",,,,,
pg,2,,,,,,
pg,2,Viewing the current settings,,,,,
pg,2,Look at the configuration files,,,,,
pg,2,,,,,,
pg,2,This is generally not definitive!,,,,,
pg,2,"SHOW ALL, SHOW <setting> will show you the current value of the setting",,,,,
pg,2,,,,,,
pg,2,Watch out for session specific changes,,,,,
pg,2,SELECT * FROM pg_settings will label session specific changes as locally modified,,,,,
pg,2,Tuning tools,,,,,
pg,2,"dbForge Studio for PostgreSQL helps to identify productivity bottlenecks, and provides PostgreSQL performance tuning",,,,,
pg,2,,,,,,
pg,2,The postgresqltuner,,,,,
pg,2,pl script can analyze the configuration and make tuning recommendations,,,,,
pg,2,,,,,,
pg,2,PgBadger analyse PostgreSQL logs to generate performance reports,,,,,
pg,2,,,,,,
pg,2,pgMustard provides tuning advice based on EXPLAIN ANALYZE output,,,,,
pg,2,,,,,,
pg,2,listen_addresses,,,,,
pg,2,"By default, PostgreSQL only responds to connections from the local host",,,,,
pg,2,,,,,,
pg,2,"If you want your server to be accessible from other systems via standard TCP/IP networking, you need to change listen_addresses from its default",,,,,
pg,2,,,,,,
pg,2,The usual approach is to set it to listen to all addresses like this:,,,,,
pg,2,listen_addresses = '*',,,,,
pg,2,And then control who can and cannot connect via the pg_hba,,,,,
pg,2,conf file,,,,,
pg,2,,,,,,
pg,2,max_connections,,,,,
pg,2,max_connections sets exactly that:,,,,,
pg,2,the maximum number of client connections allowed,,,,,
pg,2,,,,,,
pg,2,"This is very important to some of the below parameters (particularly work_mem) because there are some memory resources that are or can be allocated on a per-client basis, so the maximum number of clients suggests the maximum possible memory use",,,,,
pg,2,,,,,,
pg,2,"Generally, PostgreSQL on good hardware can support a few hundred connections",,,,,
pg,2,,,,,,
pg,2,"If you want to have thousands instead, you should consider using connection pooling software to reduce the connection overhead",,,,,
pg,2,,,,,,
pg,2,shared_buffers,,,,,
pg,2,The shared_buffers configuration parameter determines how much memory is dedicated to PostgreSQL to use for caching data,,,,,
pg,2,,,,,,
pg,2,"One reason the defaults are low is because on some platforms (like older Solaris versions and SGI), having large values requires invasive action like recompiling the kernel",,,,,
pg,2,,,,,,
pg,2,"Even on a modern Linux system, the stock kernel will likely not allow setting shared_buffers to over 32MB without adjusting kernel settings first",1,,shared_buffers,P1 < 32MB,
pg,2,,,,,,
pg,2,"(PostgreSQL 9.4 and later use a different shared memory mechanism, so kernel settings will usually not have to be adjusted there",,,,,
pg,2,,,,,,
pg,2,"If you have a system with 1GB or more of RAM, a reasonable starting value for shared_buffers is 1/4 of the memory in your system",1,,shared_buffers,P1 = 0.25 * memory,Memory >= 1GB
pg,2,,,,,,
pg,2,If you have less RAM you'll have to account more carefully for how much RAM the OS is taking up; closer to 15% is more typical there,1,202,shared_buffers,P1 = 0.15 * memory,Memory < 1GB
pg,2,,,,,,
pg,2,"There are some workloads where even larger settings for shared_buffers are effective, but given the way PostgreSQL also relies on the operating system cache, it's unlikely you'll find using more than 40% of RAM to work better than a smaller amount",1,,shared_buffers,P1 < 0.4 * memory,
pg,2,,,,,,
pg,2,"Be aware that if your system or PostgreSQL build is 32-bit, it might not be practical to set shared_buffers above 2 ~ 2.5GB",1,,shared_buffers,P1 < 2.5GB,Bits = 32
pg,2,See this blog post for details,,,,,
pg,2,,,,,,
pg,2,"Note that on Windows, large values for shared_buffers aren't as effective, and you may find better results keeping it relatively low and using the OS cache more instead",,,,,
pg,2,,,,,,
pg,2,On Windows the useful range is 64MB to 512MB,1,211,shared_buffers,P1 < 512MB,OS = Windows
pg,2,,,,,,
pg,2,Changing this setting requires restarting the database,,,,,
pg,2,"Also, this is a hard allocation of memory; the whole thing gets allocated out of virtual memory when the database starts",,,,,
pg,2,,,,,,
pg,2,PostgreSQL 9.2 or earlier,,,,,
pg,2,"If you are running PostgreSQL 9.2 or earlier, it's likely that in order to increase the value of shared_buffers you will have to increase the amount of memory your operating system allows you to allocate to a single shared memory segment",,,,,
pg,2,,,,,,
pg,2,"On UNIX-like systems, if you set it above what's supported, you'll get a message like this:",,,,,
pg,2,"IpcMemoryCreate: shmget(key=5432001, size=415776768, 03600) failed: Invalid argument",,,,,
pg,2,This error usually means that PostgreSQL's request for a shared memory,,,,,
pg,2,segment exceeded your kernel's SHMMAX parameter,,,,,
pg,2,You can either,,,,,
pg,2,reduce the request size or reconfigure the kernel with larger SHMMAX,,,,,
pg,2,,,,,,
pg,2,"To reduce the request size (currently 415776768 bytes), reduce",,,,,
pg,2,PostgreSQL's shared_buffers parameter (currently 50000) and/or,,,,,
pg,2,its max_connections parameter (currently 12),,,,,
pg,2,,,,,,
pg,2,See Managing Kernel Resources for details on how to correct this,,,,,
pg,2,,,,,,
pg,2,effective_cache_size,,,,,
pg,2,"effective_cache_size should be set to an estimate of how much memory is available for disk caching by the operating system and within the database itself, after taking into account what's used by the OS itself and other applications",,,,,
pg,2,,,,,,
pg,2,"This is a guideline for how much memory you expect to be available in the OS and PostgreSQL buffer caches, not an allocation!",,,,,
pg,2,This value is used only by the PostgreSQL query planner to figure out whether plans it's considering would be expected to fit in RAM or not,,,,,
pg,2,,,,,,
pg,2,"If it's set too low, indexes may not be used for executing queries the way you'd expect",,,,,
pg,2,,,,,,
pg,2,"The setting for shared_buffers is not taken into account here--only the effective_cache_size value is, so it should include memory dedicated to the database too",,,,,
pg,2,,,,,,
pg,2,"Setting effective_cache_size to 1/2 of total memory would be a normal conservative setting, and 3/4 of memory is a more aggressive but still reasonable amount",1,,effective_cache_size;effective_cache_size,P >= 0.5 * memory; P <= 0.75 * memory,
pg,2,,,,,,
pg,2,You might find a better estimate by looking at your operating system's statistics,,,,,
pg,2,"On UNIX-like systems, add the free+cached numbers from free or top to get an estimate",,,,,
pg,2,"On Windows see the ""System Cache"" size in the Windows Task Manager's Performance tab",,,,,
pg,2,,,,,,
pg,2,Changing this setting does not require restarting the database (HUP is enough),,,,,
pg,2,,,,,,
pg,2,checkpoint_segments checkpoint_completion_target,,,,,
pg,2,Note: This applies to PostgreSQL 9.4 and below,,,,,
pg,2,PostgreSQL 9.5 introduced min_wal_size and max_wal_size configuration parameters and removed checkpoint_segments,,,,,
pg,2,"Please review the release notes and the documentation on min_wal_size, max_wal_size and WAL configuration",,,,,
pg,2,,,,,,
pg,2,PostgreSQL writes new transactions to the database in files called WAL segments that are 16MB in size,,,,,
pg,2,,,,,,
pg,2,"Every time checkpoint_segments worth of these files have been written, by default 3, a checkpoint occurs",,,,,
pg,2,,,,,,
pg,2,"Checkpoints can be resource intensive, and on a modern system doing one every 48MB will be a serious performance bottleneck",,,,,
pg,2,,,,,,
pg,2,Setting checkpoint_segments to a much larger value improves that,,,,,
pg,2,,,,,,
pg,2,"Unless you're running on a very small configuration, you'll almost certainly be better setting this to at least 10, which also allows usefully increasing the completion target",1,263,checkpoint_segments,P >= 10,
pg,2,,,,,,
pg,2,"For more write-heavy systems, values from 32 (checkpoint every 512MB) to 256 (every 4GB) are popular nowadays",1,263,checkpoint_segments;checkpoint_segments,P >= 32; P <= 256,
pg,2,,,,,,
pg,2,"Very large settings use a lot more disk and will cause your database to take longer to recover, so make sure you're comfortable with both those things before large increases",,,,,
pg,2,,,,,,
pg,2,Normally the large settings (>64/1GB) are only used for bulk loading,1,263,checkpoint_segments,P <= 64,Not bulkloading
pg,2,,,,,,
pg,2,"Note that whatever you choose for the segments, you'll still get a checkpoint at least every 5 minutes unless you also increase checkpoint_timeout (which isn't necessary on most systems)",,,,,
pg,2,,,,,,
pg,2,Checkpoint writes are spread out a bit while the system starts working toward the next checkpoint,,,,,
pg,2,,,,,,
pg,2,"You can spread those writes out further, lowering the average write overhead, by increasing the checkpoint_completion_target parameter to its useful maximum of 0.9 (aim to finish by the time 90% of the next checkpoint is here) rather than the default of 0.5 (aim to finish when the next one is 50% done)",1,,checkpoint_completion_target,P = 0.9,
pg,2,,,,,,
pg,2,A setting of 0 gives something similar to the behavior of obsolete versions,1,277,checkpoint_completion_target,P > 0,
pg,2,,,,,,
pg,2,The main reason the default isn't just 0.9 is that you need a larger checkpoint_segments value than the default for broader spreading to work well,,,,,
pg,2,,,,,,
pg,2,"For lots more information on checkpoint tuning, see Checkpoints and the Background Writer (where you'll also learn why tuning the background writer parameters is challenging to do usefully)",,,,,
pg,2,,,,,,
pg,2,autovacuum,,,,,
pg,2,The autovacuum process takes care of several maintenance chores inside your database that you really need,,,,,
pg,2,"Generally, if you think you need to turn regular vacuuming off because it's taking too much time or resources, that means you're doing it wrong",,,,,
pg,2,,,,,,
pg,2,"The answer to almost all vacuuming problems is to vacuum more often, not less, so that each individual vacuum operation has less to clean up",,,,,
pg,2,,,,,,
pg,2,"However, it's acceptable to disable autovacuum for short periods of time, for instance when bulk loading large amounts of data",1,,autovacuum,P = off,Bulk loading
pg,2,,,,,,
pg,2,Logging,,,,,
pg,2,There are many things you can log that may or may not be important to you,,,,,
pg,2,"You should investigate the documentation on all of the options, but here are some tips & tricks to get you started:",,,,,
pg,2,log_destination & log_directory (& log_filename):,,,,,
pg,2,What you set these options to is not as important as knowing they can give you hints to determine where your database server is logging to,,,,,
pg,2,Best practice would be to try and make this as similar as possible across your servers,,,,,
pg,2,,,,,,
pg,2,"Note that in some cases, the init script starting your database may be customizing the log destination in the command line used to start the database, overriding what's in the configuration files (and making it so you'll get different behavior if you run pg_ctl manually instead of using the init script)",,,,,
pg,2,,,,,,
pg,2,log_min_error_statement:,,,,,
pg,2,"You should probably make sure this is at least on error, so that you will see any SQL commands which cause an error",,,,,
pg,2,should be the default on recent versions,,,,,
pg,2,,,,,,
pg,2,log_min_duration_statement:,,,,,
pg,2,"Not necessary for everyday use, but this can generate logs of ""slow queries"" on your system",,,,,
pg,2,,,,,,
pg,2,log_line_prefix:,,,,,
pg,2,Appends information to the start of each line,,,,,
pg,2,"A good generic recommendation is '%t:%r:%u@%d:[%p]: ' : %t=timestamp, %u=db user name, %r=host connecting from, %d=database connecting to, %p=PID of connection",,,,,
pg,2,"It may not be obvious what the PID is useful at first, but it can be vital for trying to troubleshoot problems in the future so better to put in the logs from the start",,,,,
pg,2,,,,,,
pg,2,log_statement:,,,,,
pg,2,"Choices of none, ddl, mod, all",,,,,
pg,2,Using all or mod in production would introduce overhead of the logging,1,314,log_statement;log_statement,P != all; P != mod,
pg,2,"The performance penalties for ""all"" would be significant if the workload is select intensive and less significant for write-intensive workloads",,,,,
pg,2,Turning the synchronous_commit to off would cause a more severe performance regression,1,,synchronous_commit,P != off,
pg,2,"DDL can sometime be helpful to discover rogue changes made outside of your recommend processes, by ""cowboy DBAs"" for example",,,,,
pg,2,,,,,,
pg,2,"There are also external tools such pgbadger that can analyze Postgres logs, see Monitoring for a comprehensive list",,,,,
pg,2,,,,,,
pg,2,default_statistics_target,,,,,
pg,2,The database software collects statistics about each of the tables in your database to decide how to execute queries against it,,,,,
pg,2,,,,,,
pg,2,If you're not getting good execution query plans particularly on larger (or more varied) tables you should increase default_statistics_target then ANALYZE the database again (or wait for autovacuum to do it for you),,,,,
pg,2,,,,,,
pg,2,Increasing the default_statistics_target may be useful but the default value shipped with PostgreSQL is a reasonable starting point,,,,,
pg,2,,,,,,
pg,2,PostgreSQL 8.3 and earlier,,,,,
pg,2,In PostgreSQL 8.3 and earlier increasing the supplied default_statistics_target would often greatly improve query plans,,,,,
pg,2,The starting default_statistics_target value was raised from 10 to 100 in PostgreSQL 8.4,,,,,
pg,2,"The maximum value for the parameter was also increased from 1000 to 10,000 in 8.4",1,,default_statistics_target,P <= 10000,
pg,2,,,,,,
pg,2,work_mem,,,,,
pg,2,"If you do a lot of complex sorts, and have a lot of memory, then increasing the work_mem parameter allows PostgreSQL to do larger in-memory sorts which, unsurprisingly, will be faster than disk-based equivalents",,,,,
pg,2,,,,,,
pg,2,"This size is applied to each and every sort done by each user, and complex queries can use multiple working memory sort buffers",,,,,
pg,2,"Set it to 50MB, and have 30 users submitting queries, and you are soon using 1.5GB of real memory",,,,,
pg,2,"Furthermore, if a query involves doing merge sorts of 8 tables, that requires 8 times work_mem",,,,,
pg,2,You need to consider what you set max_connections to in order to size this parameter correctly,,,,,
pg,2,"This is a setting where data warehouse systems, where users are submitting very large queries, can readily make use of many gigabytes of memory",,,,,
pg,2,,,,,,
pg,2,"log_temp_files can be used to log sorts, hashes, and temp files which can be useful in figuring out if sorts are spilling to disk instead of fitting in memory",,,,,
pg,2,You can see sorts spilling to disk using EXPLAIN ANALYZE plans as well,,,,,
pg,2,"For example, if you see a line like Sort Method:",,,,,
pg,2,external merge,,,,,
pg,2,"Disk: 7526kB in the output of EXPLAIN ANALYZE, a work_mem of at least 8MB would keep the intermediate data in memory and likely improve the query response time (although it may take substantially more than 8MB to do the sort entirely in memory, as data on disk is stored in a more compact format)",,,,,
pg,2,,,,,,
pg,2,maintenance_work_mem,,,,,
pg,2,"Specifies the maximum amount of memory to be used by maintenance operations, such as VACUUM, CREATE INDEX, and ALTER TABLE ADD FOREIGN KEY",,,,,
pg,2,It defaults to 64 megabytes (64MB) since version 9.4,,,,,
pg,2,"Since only one of these operations can be executed at a time by a database session, and an installation normally doesn't have many of them running concurrently, it's safe to set this value significantly larger than work_mem",1,,maintenance_work_mem,P > work_mem,
pg,2,Larger settings might improve performance for vacuuming and for restoring database dumps,,,,,
pg,2,,,,,,
pg,2,wal_sync_method wal_buffers,,,,,
pg,2,"After every transaction, PostgreSQL forces a commit to disk out to its write-ahead log",,,,,
pg,2,"This can be done a couple of ways, and on some platforms other options than the shipped wal_sync_method are considerably faster than the conservative default",,,,,
pg,2,,,,,,
pg,2,"open_sync is the most common non-default setting switched to, on platforms that support it but default to one of the fsync methods",1,358,wal_sync_method,P = open_sync,
pg,2,See Tuning PostgreSQL WAL Synchronization for a lot of background on this topic,,,,,
pg,2,"Note that open_sync writing is buggy on some platforms (such as Linux), and you should (as always) do plenty of tests under a heavy write load to make sure that you haven't made your system less stable with this change",,,,,
pg,2,,,,,,
pg,2,Reliable Writes contains more information on this topic,,,,,
pg,2,,,,,,
pg,2,"wal_buffers defaults to 1/32 of the size of shared_buffers, with an upper limit of 16MB (reached when shared_buffers=512MB)",,,,,
pg,2,,,,,,
pg,2,Adjustments to the default are required much less often than in earlier PostgreSQL releases,,,,,
pg,2,,,,,,
pg,2,PostgreSQL 9.0 and earlier,,,,,
pg,2,Linux kernels starting with version 2.6.33 cause PostgreSQL versions before 9.0.2 to default to wal_sync_method=open_datasync; before kernel 2.6.32 the default picked was always fdatasync,,,,,
pg,2,,,,,,
pg,2,This can cause a significant performance decrease when combined with small writes and/or small values for wal_buffers,,,,,
pg,2,,,,,,
pg,2,PostgreSQL versions starting with 9.0.2 again default wal_sync_method to fdatasync when running on Linux,,,,,
pg,2,,,,,,
pg,2,"On PostgreSQL 9.0 and earlier, increasing wal_buffers from its tiny default of a small number of kilobytes is helpful for write-heavy systems",,,,,
pg,2,,,,,,
pg,2,"Benchmarking generally suggests that just increasing to 1MB is enough for some large systems, and given the amount of RAM in modern servers allocating a full WAL segment (16MB, the useful upper-limit here) is reasonable",1,377,wal_buffers,P <= 16MB,
pg,2,,,,,,
pg,2,Changing wal_buffers requires a database restart,,,,,
pg,2,,,,,,
pg,2,constraint_exclusion,,,,,
pg,2,constraint_exclusion now defaults to a new choice: partition,,,,,
pg,2,This will only enable constraint exclusion for partitioned tables which is the right thing to do in nearly all cases,,,,,
pg,2,,,,,,
pg,2,max_prepared_transactions,,,,,
pg,2,This setting is used for managing 2 phase commit,,,,,
pg,2,"If you do not use two phase commit (and if you don't know what it is, you don't use it), then you can set this value to 0",1,387,max_prepared_transactions,P = 0,
pg,2,That will save a little bit of shared memory,,,,,
pg,2,"For database systems with a large number (at least hundreds) of concurrent connections, be aware that this setting also affects the number of available lock-slots in pg_locks, so you may want to leave it at the default setting",,,,,
pg,2,,,,,,
pg,2,There is a formula for how much memory gets allocated in the docs and in the default postgresql,,,,,
pg,2,conf,,,,,
pg,2,,,,,,
pg,2,Changing max_prepared_transactions requires a server restart,,,,,
pg,2,,,,,,
pg,2,synchronous_commit,,,,,
pg,2,PostgreSQL can only safely use a write cache if it has a battery backup,,,,,
pg,2,See WAL reliability for an essential introduction to this topic,,,,,
pg,2,,,,,,
pg,2,"No, really; go read that right now, it's vital to understand that if you want your database to work right",,,,,
pg,2,,,,,,
pg,2,You may be limited to approximately 100 transaction commits per second per client in situations where you don't have such a durable write cache (and perhaps only 500/second even with lots of clients),,,,,
pg,2,,,,,,
pg,2,"For situations where a small amount of data loss is acceptable in return for a large boost in how many updates you can do to the database per second, consider switching synchronous commit off",1,,synchronous_commit,P = off,
pg,2,"This is particularly useful in the situation where you do not have a battery-backed write cache on your disk controller, because you could potentially get thousands of commits per second instead of just a few hundred",,,,,
pg,2,,,,,,
pg,2,"For obsolete versions of PostgreSQL, you may find people recommending that you set fsync=off to speed up writes on busy systems",,,,,
pg,2,,,,,,
pg,2,This is dangerous--a power loss could result in your database getting corrupted and not able to start again,1,409,fsync,P != off,
pg,2,,,,,,
pg,2,"Synchronous commit doesn't introduce the risk of corruption, which is really bad, just some risk of data loss",,,,,
pg,2,,,,,,
pg,2,random_page_cost,,,,,
pg,2,"This setting suggests to the optimizer how long it will take your disks to seek to a random disk page, as a multiple of how long a sequential read (with a cost of 1.0) takes",,,,,
pg,2,"If you have particularly fast disks, as commonly found with",,,,,
pg,2,"RAID arrays of SCSI disks, it may be appropriate to lower random_page_cost, which will encourage the query optimizer to use random access index scans",,,,,
pg,2,Some feel that 4.0 is always too large on current hardware; it's not unusual for administrators to standardize on always setting this between 2.0 and 3.0 instead,1,418,random_page_cost;random_page_cost,P >= 2.0; P <= 3.0,
pg,2,,,,,,
pg,2,In some cases that behavior is a holdover from earlier PostgreSQL versions where having random_page_cost too high was more likely to screw up plan optimization than it is now (and setting at or below 2.0 was regularly necessary),,,,,
pg,2,Since these cost estimates are just that--estimates--it shouldn't hurt to try lower values,,,,,
pg,2,,,,,,
pg,2,But this not where you should start to search for plan problems,,,,,
pg,2,Note that random_page_cost is pretty far down this list (at the end in fact),,,,,
pg,2,"If you are getting bad plans, this shouldn't be the first thing you look at, even though lowering this value may be effective",,,,,
pg,2,"Instead, you should start by making sure autovacuum is working properly, that you are collecting enough statistics, and that you have correctly sized the memory parameters for your server--all the things gone over above",,,,,
pg,2,,,,,,
pg,2,"After you've done all those much more important things, if you're still getting bad plans then you should see if lowering random_page_cost is still useful",,,,,
pg,2,,,,,,
pg,2,"Retrieved from ""https://wiki",,,,,
pg,2,postgresql,,,,,
pg,2,org/index,,,,,
pg,2,"php?title=Tuning_Your_PostgreSQL_Server&oldid=35462""",,,,,
pg,2,Categories: AdministrationPerformance,,,,,
pg,2,Navigation menu,,,,,
pg,2,Views,,,,,
pg,2,Page,,,,,
pg,2,Discussion,,,,,
pg,2,View source,,,,,
pg,2,History,,,,,
pg,2,Personal tools,,,,,
pg,2,Log in,,,,,
pg,2,Navigation,,,,,
pg,2,Main Page,,,,,
pg,2,Random page,,,,,
pg,2,Recent changes,,,,,
pg,2,Help,,,,,
pg,2,Search,,,,,
pg,2,Tools,,,,,
pg,2,What links here,,,,,
pg,2,Related changes,,,,,
pg,2,Special pages,,,,,
pg,2,Printable version,,,,,
pg,2,Permanent link,,,,,
pg,2,Page information,,,,,
pg,2,"This page was last edited on 14 October 2020, at 11:57",,,,,
pg,2,,,,,,
pg,2,Privacy policy,,,,,
pg,2,About PostgreSQL wiki,,,,,
pg,2,Disclaimers,,,,,
pg,3,How to tune PostgreSQL for memory | EDB,,,,,
pg,3,Skip to main content,,,,,
pg,3,Barrio main menu,,,,,
pg,3,Why EDB?,,,,,
pg,3,EDB Supercharges PostgreSQL,,,,,
pg,3,wrapper,,,,,
pg,3,Use Cases,,,,,
pg,3,Oracle Migration,,,,,
pg,3,Hybrid Cloud,,,,,
pg,3,High Availability,,,,,
pg,3,Solutions for,,,,,
pg,3,IT Professionals,,,,,
pg,3,Database Architects,,,,,
